10000, 0.01745, 0.005
20000, 0.00902, 0.02
30000, 0.00446, 0.02
40000, 0.00325, 0.02
50000, 0.00278, 0.02
60000, 0.00250, 0.02
70000, 0.00233, 0.02
80000, 0.00219, 0.02
90000, 0.00206, 0.02
100000, 0.00200, 0.02
110000, 0.00190, 0.02
120000, 0.00182, 0.02
130000, 0.00174, 0.02
140000, 0.00166, 0.02
150000, 0.00157, 0.02
160000, 0.00155, 0.02
170000, 0.00152, 0.02
180000, 0.00148, 0.02
190000, 0.00143, 0.02
200000, 0.00140, 0.02
210000, 0.00137, 0.02
220000, 0.00135, 0.02
230000, 0.00131, 0.02
240000, 0.00131, 0.02
250000, 0.00130, 0.02
260000, 0.00126, 0.02
270000, 0.00124, 0.02
280000, 0.00121, 0.02
290000, 0.00120, 0.02
300000, 0.00118, 0.02
310000, 0.00118, 0.02
320000, 0.00114, 0.02
330000, 0.00115, 0.02
340000, 0.00111, 0.02
350000, 0.00110, 0.02
360000, 0.00109, 0.02
